Time,LL_Q,LL_T,LL_C,Regime
4405000,   2570181326,   2738122208,   2700811947,xx
4415000,   2570181326,   2738122208,   2700811947,xx
4425000,   2570181326,   2738122208,   2700811947,xx
4515000,   2625674407,   2813591153,   2763639921,xx
4525000,   2625674407,   2813591153,   2763639921,xx
4535000,   2625674407,   2813591153,   2763639921,xx
4625000,   2687878065,   2875589588,   2829947687,xx
4635000,   2687878065,   2875589588,   2829947687,xx
4645000,   2687878065,   2875589588,   2829947687,xx
4735000,   2743800729,   2952187354,   2911706796,xx
4745000,   2743800729,   2952187354,   2911706796,xx
4755000,   2743800729,   2952187354,   2911706796,xx
4845000,   2807528215,   3020898845,   2990988121,xx
4855000,   2807528215,   3020898845,   2990988121,xx
4865000,   2807528215,   3020898845,   2990988121,xx
4955000,   2884271908,   3093966690,   3056725609,xx
4965000,   2884271908,   3093966690,   3056725609,xx
4975000,   2884271908,   3093966690,   3056725609,xx
5065000,   2929551551,   3160994571,   3138130229,xx
5075000,   2929551551,   3160994571,   3138130229,xx
5085000,   2929551551,   3160994571,   3138130229,xx
5175000,   2947283471,   3229069555,   3216763606,xx
5185000,   2947283471,   3229069555,   3216763606,xx
5195000,   2947283471,   3229069555,   3216763606,xx
5285000,   3006449347,   3300688235,   3293209512,xx
5295000,   3006449347,   3300688235,   3293209512,xx
5305000,   3006449347,   3300688235,   3293209512,xx
5395000,   3079338364,   3371235517,   3374189896,xx
5405000,   3079338364,   3371235517,   3374189896,xx
5415000,   3079338364,   3371235517,   3374189896,xx
5505000,   3152404372,   3453150860,   3446461004,xx
5515000,   3152404372,   3453150860,   3446461004,xx
5525000,   3152404372,   3453150860,   3446461004,xx
5615000,   3201447447,   3536946084,   3515943856,xx
5625000,   3201447447,   3536946084,   3515943856,xx
5635000,   3201447447,   3536946084,   3515943856,xx
5725000,   3242959722,   3615107726,   3562167185,xx
5735000,   3242959722,   3615107726,   3562167185,xx
5745000,   3242959722,   3615107726,   3562167185,xx
5835000,   3319630620,   3693905021,   3641781865,xx
5845000,   3319630620,   3693905021,   3641781865,xx
5855000,   3319630620,   3693905021,   3641781865,xx
5945000,   3381628772,   3777854873,   3687952015,xx
5955000,   3381628772,   3777854873,   3687952015,xx
5965000,   3381628772,   3777854873,   3687952015,xx
6055000,   3454167248,   3830082444,   3767730540,xx
6065000,   3454167248,   3830082444,   3767730540,xx
6075000,   3454167248,   3830082444,   3767730540,xx
6165000,   3499574125,   3895042191,   3841407712,xx
6175000,   3499574125,   3895042191,   3841407712,xx
6185000,   3499574125,   3895042191,   3841407712,xx
6275000,   3559901521,   3958837982,   3864471888,xx
6285000,   3559901521,   3958837982,   3864471888,xx
6295000,   3559901521,   3958837982,   3864471888,xx
6385000,   3638806054,   4037883319,   3902000465,xx
6395000,   3638806054,   4037883319,   3902000465,xx
6405000,   3638806054,   4037883319,   3902000465,xx
6495000,   3705967464,   4099191776,   3981640274,xx
6505000,   3705967464,   4099191776,   3981640274,xx
6515000,   3705967464,   4099191776,   3981640274,xx
6605000,   3749601564,   4156741079,   4045847325,xx
6615000,   3749601564,   4156741079,   4045847325,xx
6625000,   3749601564,   4156741079,   4045847325,xx
6715000,   3825427247,   4227638573,   4119388140,xx
6725000,   3825427247,   4227638573,   4119388140,xx
6735000,   3825427247,   4227638573,   4119388140,xx
6825000,   3876973283,   4308106702,   4196450640,xx
6835000,   3876973283,   4308106702,   4196450640,xx
6845000,   3876973283,   4308106702,   4196450640,xx
6935000,   3949792958,   4383885179,   4278242941,xx
6945000,   3949792958,   4383885179,   4278242941,xx
6955000,   3949792958,   4383885179,   4278242941,xx
7045000,   4019730556,   4456331867,   4341587588,xx
7055000,   4019730556,   4456331867,   4341587588,xx
7065000,   4019730556,   4456331867,   4341587588,xx
7155000,   4072834119,   4537871047,   4416429862,xx
7165000,   4072834119,   4537871047,   4416429862,xx
7175000,   4072834119,   4537871047,   4416429862,xx
7265000,   4152016146,   4573344156,   4484782547,xx
7275000,   4152016146,   4573344156,   4484782547,xx
7285000,   4152016146,   4573344156,   4484782547,xx
7375000,   4223740175,   4640377424,   4545792181,xx
7385000,   4223740175,   4640377424,   4545792181,xx
7395000,   4223740175,   4640377424,   4545792181,xx
7485000,   4290241071,   4710139947,   4618753834,xx
7495000,   4290241071,   4710139947,   4618753834,xx
7505000,   4290241071,   4710139947,   4618753834,xx
7595000,   4363500804,   4737403913,   4696128159,xx
7605000,   4363500804,   4737403913,   4696128159,xx
7615000,   4363500804,   4737403913,   4696128159,xx
7705000,   4423602904,   4810393874,   4778642071,xx
7715000,   4423602904,   4810393874,   4778642071,xx
7725000,   4423602904,   4810393874,   4778642071,xx
7815000,   4491794978,   4886351205,   4856362273,xx
7825000,   4491794978,   4886351205,   4856362273,xx
7835000,   4491794978,   4886351205,   4856362273,xx
7925000,   4570845230,   4922673238,   9132950139,xx
7935000,   4570845230,   4922673238,   9132950139,xx
7945000,   4570845230,   4922673238,   9132950139,xx
8035000,   4621393456,   4955351337,   9204404786,xx
8045000,   4621393456,   4955351337,   9204404786,xx
8055000,   4621393456,   4955351337,   9204404786,xx
8145000,   4700282178,   5022492107,   9283946939,xx
8155000,   4700282178,   5022492107,   9283946939,xx
8165000,   4700282178,   5022492107,   9283946939,xx
8255000,   4766305873,   5097392022,   9326985593,xx
8265000,   4766305873,   5097392022,   9326985593,xx
8275000,   4766305873,   5097392022,   9326985593,xx
8365000,   4843559372,   5164931617,   9403302065,xx
8375000,   4843559372,   5164931617,   9403302065,xx
8385000,   4843559372,   5164931617,   9403302065,xx
8475000,   4914817814,   5214575062,   9453742523,xx
8485000,   4914817814,   5214575062,   9453742523,xx
8495000,   4914817814,   5214575062,   9453742523,xx
8585000,   4974619581,   5298447123,   9526824369,xx
8595000,   4974619581,   5298447123,   9526824369,xx
8605000,   4974619581,   5298447123,   9526824369,xx
8695000,   5051737710,   5366792846,   9600176505,xx
8705000,   5051737710,   5366792846,   9600176505,xx
8715000,   5051737710,   5366792846,   9600176505,xx
